('Others Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 189, 45.576246860423396, 45.576246860423389, 7.2168588153349908e-07, array([294, 280, 322, 243, 208, 302, 247, 284, 276, 331], dtype=int64), 2787)
('Outside Lab 1 Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 20, 17.487972508591067, 17.487972508591067, 0.041600675732559184, array([32, 34, 31, 24, 23, 34, 19, 33, 19, 42], dtype=int64), 291)
('Outside Lab 2 Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 21, 20.055555555555557, 20.055555555555557, 0.017572629335681503, array([43, 26, 45, 25, 32, 47, 25, 38, 33, 46], dtype=int64), 360)
('Outside Lab 3 Colony', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 15, 19.19047619047619, 19.190476190476193, 0.023621155769518207, array([17, 15, 22,  9,  7, 12, 21, 21,  8, 15], dtype=int64), 147)
('RTS Colony', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 268, 115.0928270042194, 115.0928270042194, 1.3461097168524666e-20, array([419, 405, 469, 311, 320, 482, 378, 371, 347, 527], dtype=int64), 4029)
('RTS Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 339, 124.47585940517573, 124.47585940517575, 1.6168528634459421e-22, array([569, 544, 619, 458, 391, 593, 428, 490, 455, 631], dtype=int64), 5178)
('Others Colony', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 116, 49.88696655132641, 49.88696655132641, 1.131258435650386e-07, array([183, 171, 219, 136, 143, 208, 142, 162, 157, 213], dtype=int64), 1734)
('Others Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 189, 64.205597416576964, 64.205597416576964, 2.0587207261061888e-10, array([299, 252, 325, 240, 247, 361, 231, 243, 269, 320], dtype=int64), 2787)
('Outside Lab 1 Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 20, 19.756013745704468, 19.756013745704468, 0.019479300580143168, array([25, 41, 42, 23, 31, 33, 17, 30, 23, 26], dtype=int64), 291)
('Outside Lab 2 Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 26, 15.111111111111111, 15.111111111111111, 0.087928812002916495, array([33, 36, 39, 25, 27, 41, 27, 47, 40, 45], dtype=int64), 360)
('Outside Lab 3 Colony', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 9, 8.170068027210883, 8.1700680272108848, 0.51710261337067953, array([14, 14, 21, 11, 12, 16,  9, 14, 19, 17], dtype=int64), 147)
('RTS Colony', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 274, 111.66765946885083, 111.66765946885084, 6.7259570196334903e-20, array([446, 417, 471, 320, 322, 490, 353, 344, 364, 502], dtype=int64), 4029)
('RTS Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 352, 111.59830050212437, 111.59830050212437, 6.9484532649346453e-20, array([573, 505, 637, 452, 412, 577, 428, 515, 461, 618], dtype=int64), 5178)
('Others Colony', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 122, 57.038062283737027, 57.038062283737027, 4.9694138489120094e-09, array([176, 176, 209, 131, 143, 220, 147, 167, 145, 220], dtype=int64), 1734)
('Others Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 169, 67.578399712953001, 67.578399712953001, 4.534829838491707e-11, array([271, 288, 327, 220, 230, 340, 236, 261, 268, 346], dtype=int64), 2787)
('Outside Lab 1 Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 23, 13.776632302405497, 13.776632302405497, 0.13049564681626338, array([27, 30, 29, 38, 23, 43, 29, 24, 22, 26], dtype=int64), 291)
('Outside Lab 2 Coulter', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 18, 15.277777777777777, 15.277777777777779, 0.083583072952821247, array([31, 35, 42, 28, 31, 45, 28, 31, 38, 51], dtype=int64), 360)
('Outside Lab 3 Colony', '(Mean in triplet, manual_chi_sq, chi_sq, p, f_obs, tot)', 9, 6.8095238095238093, 6.8095238095238093, 0.65694306421885584, array([18, 12, 19, 15, 10, 19, 11, 15, 12, 16], dtype=int64), 147)
